course_set:["c0001"	"c0002"	"c0004"	"c0005"	"c0014"	"c0015"	"c0016"	"c0017"	"c0024"	"c0025"	"c0078"	"c0030"	"c0031"	"c0032"	"c0033"	"c0057"	"c0058"	"c0059"	"c0061"	"c0062"	"c0063"	"c0064"	"c0065"	"c0066"	"c0067"	"c0068"	"c0069"	"c0070"	"c0071"	"c0072"
]
teacher_set:["t000"	"t001"	"t002"	"t003"	"t004"	"t005"	"t006"	"t007"	"t008"	"t009"	"t010"	"t011"	"t012"	"t013"	"t014"	"t015"	"t016"	"t017"	"t018"	"t019"	"t020"	"t021"	"t022"	"t023"	
]

rooms:["B" "C" "E" "F" "G" "S"]
curricula:["q000"	"q001"	"q002"	"q003"	"q004"	"q005"	"q006"	"q007"	"q008"	"q009"	"q010"	"q011"	"q012"	"q013"]

COURSE_DATA:
[("c0001")	[	"t000"	6	4	130	]
("c0002")	[	"t001"	6	4	75	]
("c0004")	[	"t002"	7	3	117	]
("c0005")	[	"t003"	3	3	75	]
("c0014")	[	"t004"	1	1	65	]
("c0015")	[	"t005"	8	3	65	]
("c0016")	[	"t006"	7	3	65	]
("c0017")	[	"t007"	2	2	65	]
("c0024")	[	"t008"	4	3	55	]
("c0025")	[	"t009"	8	3	55	]
("c0078")	[	"t010"	5	4	55	]
("c0030")	[	"t011"	5	4	20	]
("c0031")	[	"t012"	5	4	11	]
("c0032")	[	"t013"	1	1	31	]
("c0033")	[	"t014"	6	4	31	]
("c0057")	[	"t015"	5	4	2	]
("c0058")	[	"t016"	5	4	2	]
("c0059")	[	"t017"	6	4	7	]
("c0061")	[	"t018"	6	4	6	]
("c0062")	[	"t019"	5	4	10	]
("c0063")	[	"t020"	6	4	8	]
("c0064")	[	"t020"	6	4	6	]
("c0065")	[	"t021"	6	4	5	]
("c0066")	[	"t008"	6	4	14	]
("c0067")	[	"t022"	5	4	7	]
("c0068")	[	"t023"	6	4	9	]
("c0069")	[	"t007"	6	4	7	]
("c0070")	[	"t002"	6	4	4	]
("c0071")	[	"t001"	6	4	10	]
("c0072")	[	"t003"	6	4	9	]]

rooms_capacity:
[("B")	200
("C")	100
("E")	9
("F")	30
("G")	20
("S")	30]

curriculum_courses:
[("q000")	[	c0001	c0002	c0004	c0005	]
("q001")	[	c0014	c0015	c0016	c0017	]
("q002")	[	c0024	c0025	c0001	c0078	]
("q003")	[	c0030	c0032	c0033		]
("q004")	[	c0031	c0032	c0033		]
("q005")	[	c0070	c0066	c0072		]
("q006")	[	c0057	c0059			]
("q007")	[	c0061	c0062			]
("q008")	[	c0065	c0059	c0072		]
("q009")	[	c0063	c0064	c0066	c0071	]
("q010")	[	c0058	c0063	c0068		]
("q011")	[	c0069	c0067	c0068		]
("q012")	[	c0004				]
("q013")	[	c0062	c0066	c0071		]]

unavailability:
[(1) ["c0001"	4	0	]
(2)	["c0001"	4	1	]
(3)	["c0001"	4	2	]
(4)	["c0001"	4	3	]
(5)	["c0001"	4	4	]
(	6	)	["c0001"	4	5	]
(	7	)	["c0004"	0	0	]
(	8	)	["c0004"	0	1	]
(	9	)	["c0004"	0	2	]
(	10	)	["c0004"	0	3	]
(	11	)	["c0004"	0	4	]
(	12	)	["c0004"	0	5	]
(	13	)	["c0024"	3	0	]
(	14	)	["c0024"	3	1	]
(	15	)	["c0024"	3	2	]
(	16	)	["c0024"	3	3	]
(	17	)	["c0024"	3	4	]
(	18	)	["c0024"	3	5	]
(	19	)	["c0025"	2	2	]
(	20	)	["c0025"	2	3	]
(	21	)	["c0025"	2	4	]
(	22	)	["c0025"	2	5	]
(	23	)	["c0025"	3	0	]
(	24	)	["c0025"	3	1	]
(	25	)	["c0025"	3	2	]
(	26	)	["c0025"	3	3	]
(	27	)	["c0025"	3	4	]
(	28	)	["c0025"	3	5	]
(	29	)	["c0033"	3	2	]
(	30	)	["c0033"	3	3	]
(	31	)	["c0033"	3	4	]
(	32	)	["c0033"	3	5	]
(	33	)	["c0033"	4	0	]
(	34	)	["c0033"	4	1	]
(	35	)	["c0033"	4	2	]
(	36	)	["c0033"	4	3	]
(	37	)	["c0033"	4	4	]
(	38	)	["c0033"	4	5	]
(	39	)	["c0071"	0	0	]
(	40	)	["c0071"	0	1	]
(	41	)	["c0071"	0	2	]
(	42	)	["c0071"	1	0	]
(	43	)	["c0071"	1	1	]
(	44	)	["c0071"	1	2	]
(	45	)	["c0071"	2	0	]
(	46	)	["c0071"	2	1	]
(	47	)	["c0071"	2	2	]
(	48	)	["c0071"	3	0	]
(	49	)	["c0071"	3	1	]
(	50	)	["c0071"	3	2	]
(	51	)	["c0071"	4	0	]
(	52	)	["c0071"	4	1	]
(	53	)	["c0071"	4	2	]]
